"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58696","Add person in table with invalid data","TESTS","Sat Aug 31 23:32:41 EET 2024","passed","Sat Aug 31 23:33:40 EET 2024","TestElements","Elements","",""
"","88454","Check all checkboxes","TESTS","Sat Aug 31 23:26:57 EET 2024","passed","Sat Aug 31 23:28:25 EET 2024","TestElements","Elements","",""
"","80246","Check api call links","TESTS","Sat Aug 31 23:42:30 EET 2024","passed","Sat Aug 31 23:43:50 EET 2024","TestElements","Elements","",""
"","66204","Check all radiobuttons","TESTS","Sat Aug 31 23:28:40 EET 2024","passed","Sat Aug 31 23:29:46 EET 2024","TestElements","Elements","",""
"","93989","Add person with empty data","TESTS","Sat Aug 31 23:22:52 EET 2024","passed","Sat Aug 31 23:24:26 EET 2024","TestElements","Elements","",""
"","87547","Add new person and search person","TESTS","Sat Aug 31 23:33:53 EET 2024","passed","Sat Aug 31 23:35:21 EET 2024","TestElements","Elements","",""
"","134191","Check simple link","TESTS","Sat Aug 31 23:40:02 EET 2024","passed","Sat Aug 31 23:42:16 EET 2024","TestElements","Elements","",""
"","82510","Check button, which will clickable after 5 seconds","TESTS","Sat Aug 31 23:47:35 EET 2024","passed","Sat Aug 31 23:48:58 EET 2024","TestElements","Elements","",""
"","79326","Check upload file","TESTS","Sat Aug 31 23:44:05 EET 2024","passed","Sat Aug 31 23:45:24 EET 2024","TestElements","Elements","",""
"","45326","Check button, which will visible after 5 seconds","TESTS","Sat Aug 31 23:49:11 EET 2024","passed","Sat Aug 31 23:49:56 EET 2024","TestElements","Elements","",""
"","74939","Check all buttons","TESTS","Sat Aug 31 23:38:35 EET 2024","passed","Sat Aug 31 23:39:50 EET 2024","TestElements","Elements","",""
"","99751","Check download file","TESTS","Sat Aug 31 23:45:40 EET 2024","passed","Sat Aug 31 23:47:20 EET 2024","TestElements","Elements","",""
"","107589","Add person with invalid data","TESTS","Sat Aug 31 23:24:55 EET 2024","passed","Sat Aug 31 23:26:42 EET 2024","TestElements","Elements","",""
"","50004","Add new person in table with valid data","TESTS","Sat Aug 31 23:30:02 EET 2024","passed","Sat Aug 31 23:30:52 EET 2024","TestElements","Elements","",""
"","67721","Add new person in table and update person info","TESTS","Sat Aug 31 23:35:40 EET 2024","passed","Sat Aug 31 23:36:48 EET 2024","TestElements","Elements","",""
"","83072","Add person in table with empty data","TESTS","Sat Aug 31 23:31:05 EET 2024","passed","Sat Aug 31 23:32:28 EET 2024","TestElements","Elements","",""
"","81796","Add new person in table and delete person ","TESTS","Sat Aug 31 23:37:00 EET 2024","passed","Sat Aug 31 23:38:22 EET 2024","TestElements","Elements","",""
"","108845","Add person with valid data","TESTS","Sat Aug 31 23:20:47 EET 2024","passed","Sat Aug 31 23:22:36 EET 2024","TestElements","Elements","",""
